,Ontology_Words,Code_Count,Intent_Count,Fuzzy_Code_Count,Fuzzy_Intent_Count
bubble,bubble,0.0,0.0,0.0,0.0
insertion,insertion,21.0,21.0,39.0,0.0
merge,merge,96.0,56.0,126.0,0.0
heap,heap,0.0,0.0,5.0,0.0
quick,quick,16.0,0.0,16.0,0.0
radix,radix,0.0,0.0,0.0,0.0
counting,counting,12.0,8.0,24.0,0.0
bucket,bucket,10.0,10.0,14.0,0.0
shell,shell,6.0,0.0,6.0,0.0
comb,comb,0.0,0.0,182.0,0.0
pigeonhole,pigeonhole,0.0,0.0,0.0,0.0
cycle,cycle,5.0,0.0,5.0,0.0
bubble,bubble,0.0,0.0,0.0,0.0
radix,radix,0.0,0.0,0.0,0.0
counting,counting,12.0,8.0,24.0,0.0
bucket,bucket,10.0,10.0,14.0,0.0
shell,shell,6.0,0.0,6.0,0.0
comb,comb,0.0,0.0,182.0,0.0
pigeonhole,pigeonhole,0.0,0.0,0.0,0.0
linear,linear,42.0,6.0,57.0,0.0
binary,binary,120.0,100.0,120.0,0.0
jump,jump,0.0,0.0,0.0,0.0
interpolation,interpolation,93.0,33.0,162.0,363.0
exponential,exponential,0.0,0.0,2.0,0.0
sublist,sublist,0.0,0.0,0.0,0.0
fibonacci,fibonacci,0.0,0.0,0.0,0.0
sort,sort,490.0,254.0,514.0,190.0
cocktail,cocktail,0.0,0.0,0.0,0.0
strand,strand,0.0,0.0,2.0,0.0
gnome,gnome,0.0,0.0,0.0,0.0
postman,postman,0.0,0.0,0.0,0.0
bitonic,bitonic,0.0,0.0,0.0,0.0
stooge,stooge,0.0,0.0,0.0,0.0
bogo,bogo,0.0,0.0,0.0,0.0
unbounded,unbounded,4.0,4.0,4.0,0.0
ternary,ternary,0.0,0.0,0.0,0.0
informed,informed,0.0,0.0,12.0,0.0
breadth-first,breadth-first,0.0,0.0,267.0,0.0
backtracking,backtracking,0.0,0.0,0.0,0.0
beam,beam,0.0,0.0,0.0,0.0
bidirectional,bidirectional,0.0,0.0,22.0,0.0
graph,graph,0.0,0.0,0.0,0.0
pagerank,pagerank,0.0,0.0,0.0,0.0
trustrank,trustrank,0.0,0.0,0.0,0.0
a-star,a-star,0.0,0.0,6388.0,600.0
interleaving,interleaving,0.0,0.0,0.0,0.0
insertion-,insertion-,0.0,0.0,13.0,0.0
merge,merge,96.0,56.0,126.0,0.0
heap,heap,0.0,0.0,5.0,0.0
quick,quick,16.0,0.0,16.0,0.0
cycle,cycle,5.0,0.0,5.0,0.0
linear,linear,42.0,6.0,57.0,0.0
binary,binary,120.0,100.0,120.0,0.0
jump,jump,0.0,0.0,0.0,0.0
interpolation,interpolation,93.0,33.0,162.0,363.0
exponential,exponential,0.0,0.0,2.0,0.0
sublist,sublist,0.0,0.0,0.0,0.0
fibonacci,fibonacci,0.0,0.0,0.0,0.0
cocktail,cocktail,0.0,0.0,0.0,0.0
strand,strand,0.0,0.0,2.0,0.0
gnome,gnome,0.0,0.0,0.0,0.0
stran,stran,0.0,0.0,0.0,0.0
pancake,pancake,0.0,0.0,0.0,0.0
postman,postman,0.0,0.0,0.0,0.0
unbounded,unbounded,4.0,4.0,4.0,0.0
ternary,ternary,0.0,0.0,0.0,0.0
informed,informed,0.0,0.0,12.0,0.0
beam,beam,0.0,0.0,0.0,0.0
beamstack,beamstack,0.0,0.0,0.0,0.0
bestfirst,bestfirst,0.0,0.0,0.0,0.0
bloomfilter,bloomfilter,0.0,0.0,0.0,0.0
bruteforce,bruteforce,0.0,0.0,0.0,0.0
depthfirst,depthfirst,0.0,0.0,0.0,0.0
uniformcost,uniformcost,0.0,0.0,0.0,0.0
localbeam,localbeam,0.0,0.0,0.0,0.0
simulatedannealing,simulatedannealing,0.0,0.0,0.0,0.0
interleaving,interleaving,0.0,0.0,0.0,0.0
pureheuristic,pureheuristic,0.0,0.0,0.0,0.0
a-star,a-star,0.0,0.0,6388.0,600.0
hashing,hashing,14.0,6.0,14.0,0.0
probing,probing,0.0,0.0,0.0,0.0
sorting,sorting,32.0,22.0,37.0,0.0
ing,ing,1.0,1.0,8.0,0.0
bubbl,bubbl,0.0,0.0,0.0,0.0
count,count,310.0,88.0,504.0,696.0
pigeonhol,pigeonhol,0.0,0.0,0.0,0.0
backtrack,backtrack,0.0,0.0,10.0,0.0
hash,hash,198.0,44.0,522.0,0.0
probe,probe,0.0,0.0,0.0,0.0
attribute,attribute,80.0,72.0,170.0,0.0
relationship,relationship,3.0,3.0,3.0,0.0
recursive,recursive,12.0,0.0,68.0,0.0
tuple,tuple,1180.0,540.0,1640.0,90.0
raid,raid,0.0,0.0,8.0,0.0
schema,schema,160.0,70.0,162.0,378.0
instance,instance,147.0,114.0,2064.0,0.0
integrity,integrity,105.0,24.0,105.0,633.0
entity,entity,0.0,0.0,20.0,146.0
entities,entities,0.0,0.0,0.0,0.0
relation,relation,0.0,0.0,8.0,0.0
relationship,relationship,3.0,3.0,3.0,0.0
multivalued,multivalued,0.0,0.0,0.0,0.0
copmlex,copmlex,0.0,0.0,38.0,0.0
selection,selection,63.0,23.0,138.0,0.0
projection,projection,1.0,1.0,3.0,0.0
rename,rename,162.0,100.0,192.0,356.0
set,set,1936.0,872.0,2012.0,0.0
join,join,260.0,49.0,263.0,0.0
division,division,3.0,1.0,3.0,0.0
quantifiers,quantifiers,0.0,0.0,0.0,0.0
constrains,constrains,0.0,0.0,113.0,0.0
insert,insert,90.0,46.0,114.0,0.0
delete,delete,55.0,15.0,240.0,0.0
update,update,186.0,36.0,219.0,0.0
alter,alter,24.0,20.0,26.0,0.0
select,select,68.0,44.0,112.0,0.0
view,view,109.0,23.0,112.0,0.0
aliasing,aliasing,2.0,1.0,2.0,0.0
arithmetic,arithmetic,63.0,48.0,63.0,0.0
exists,exists,53.0,20.0,74.0,0.0
joins,joins,1.0,0.0,261.0,0.0
transaction,transaction,0.0,0.0,14.0,0.0
serializability,serializability,0.0,0.0,0.0,0.0
polygraph,polygraph,0.0,0.0,0.0,0.0
lock,lock,0.0,0.0,266.0,117.0
records,records,22.0,19.0,26.0,0.0
indexing,indexing,44.0,24.0,56.0,0.0
underflow,underflow,1.0,1.0,1.0,0.0
overflow,overflow,125.0,40.0,160.0,0.0
insertion,insertion,21.0,21.0,39.0,0.0
deletion,deletion,0.0,0.0,134.0,0.0
insertion,insertion,21.0,21.0,39.0,0.0
deletion,deletion,0.0,0.0,134.0,0.0
multivalued,multivalued,0.0,0.0,0.0,0.0
stored,stored,32.0,28.0,179.0,78.0
derived,derived,2.0,1.0,3.0,0.0
composite,composite,0.0,0.0,12.0,0.0
complex,complex,152.0,24.0,220.0,84.0
key,key,1845.0,459.0,2715.0,486.0
cardinality,cardinality,0.0,0.0,0.0,0.0
table,table,804.0,350.0,980.0,1398.0
row,row,323.0,149.0,516.0,219.0
