,Ontology_Words,Code_Count,Intent_Count,Fuzzy_Code_Count,Fuzzy_Intent_Count
0,bubble,8.0,2.0,10.0,0.0
1,insertion,27.0,24.0,63.0,0.0
2,merge,304.0,90.0,386.0,10.0
3,heap,100.0,45.0,120.0,140.0
4,quick,26.0,4.0,32.0,0.0
5,radix,0.0,0.0,0.0,0.0
6,counting,40.0,28.0,104.0,0.0
7,bucket,102.0,32.0,124.0,0.0
8,shell,124.0,24.0,124.0,0.0
9,comb,8.0,0.0,274.0,0.0
10,pigeonhole,0.0,0.0,0.0,0.0
11,cycle,555.0,80.0,630.0,10.0
12,bubble,8.0,2.0,10.0,0.0
13,radix,0.0,0.0,0.0,0.0
14,counting,40.0,28.0,104.0,0.0
15,bucket,102.0,32.0,124.0,0.0
16,shell,124.0,24.0,124.0,0.0
17,comb,8.0,0.0,274.0,0.0
18,pigeonhole,0.0,0.0,0.0,0.0
19,linear,303.0,87.0,414.0,0.0
20,binary,335.0,165.0,335.0,60.0
21,jump,8.0,4.0,8.0,0.0
22,interpolation,153.0,33.0,1005.0,855.0
23,exponential,10.0,8.0,34.0,0.0
24,sublist,8.0,0.0,8.0,0.0
25,fibonacci,0.0,0.0,2.0,0.0
26,sort,676.0,306.0,752.0,190.0
27,cocktail,6.0,4.0,6.0,0.0
28,strand,0.0,0.0,2.0,0.0
29,gnome,0.0,0.0,0.0,0.0
30,postman,0.0,0.0,0.0,0.0
31,bitonic,9.0,2.0,10.0,0.0
32,stooge,0.0,0.0,0.0,0.0
33,bogo,2.0,1.0,2.0,0.0
34,unbounded,6.0,4.0,18.0,0.0
35,ternary,0.0,0.0,0.0,0.0
36,informed,0.0,0.0,28.0,0.0
37,breadth-first,0.0,0.0,575.0,0.0
38,backtracking,0.0,0.0,8.0,0.0
39,beam,148.0,30.0,150.0,0.0
40,bidirectional,7.0,4.0,69.0,0.0
41,graph,459.0,84.0,477.0,438.0
42,pagerank,0.0,0.0,0.0,0.0
43,trustrank,0.0,0.0,0.0,0.0
44,a-star,0.0,0.0,11404.0,934.0
45,interleaving,3.0,0.0,24.0,0.0
46,insertion-,0.0,0.0,21.0,0.0
47,merge,304.0,90.0,386.0,10.0
48,heap,100.0,45.0,120.0,140.0
49,quick,26.0,4.0,32.0,0.0
50,cycle,555.0,80.0,630.0,10.0
51,linear,303.0,87.0,414.0,0.0
52,binary,335.0,165.0,335.0,60.0
53,jump,8.0,4.0,8.0,0.0
54,interpolation,153.0,33.0,1005.0,855.0
55,exponential,10.0,8.0,34.0,0.0
56,sublist,8.0,0.0,8.0,0.0
57,fibonacci,0.0,0.0,2.0,0.0
58,cocktail,6.0,4.0,6.0,0.0
59,strand,0.0,0.0,2.0,0.0
60,gnome,0.0,0.0,0.0,0.0
61,stran,0.0,0.0,1.0,0.0
62,pancake,3.0,2.0,3.0,0.0
63,postman,0.0,0.0,0.0,0.0
64,unbounded,6.0,4.0,18.0,0.0
65,ternary,0.0,0.0,0.0,0.0
66,informed,0.0,0.0,28.0,0.0
67,beam,148.0,30.0,150.0,0.0
68,beamstack,0.0,0.0,0.0,0.0
69,bestfirst,0.0,0.0,0.0,0.0
70,bloomfilter,0.0,0.0,0.0,0.0
71,bruteforce,0.0,0.0,0.0,0.0
72,depthfirst,0.0,0.0,0.0,0.0
73,uniformcost,0.0,0.0,0.0,0.0
74,localbeam,0.0,0.0,0.0,0.0
75,simulatedannealing,0.0,0.0,0.0,0.0
76,interleaving,3.0,0.0,24.0,0.0
77,pureheuristic,0.0,0.0,1.0,0.0
78,a-star,0.0,0.0,11404.0,934.0
79,hashing,18.0,10.0,18.0,0.0
80,probing,0.0,0.0,0.0,0.0
81,sorting,41.0,28.0,63.0,0.0
82,ing,1.0,1.0,22.0,0.0
83,bubbl,0.0,0.0,5.0,0.0
84,count,682.0,120.0,1252.0,1016.0
85,pigeonhol,0.0,0.0,0.0,0.0
86,backtrack,8.0,0.0,19.0,0.0
87,hash,220.0,50.0,830.0,0.0
88,probe,0.0,0.0,528.0,0.0
89,attribute,166.0,124.0,342.0,0.0
90,relationship,3.0,3.0,18.0,0.0
91,recursive,164.0,8.0,288.0,64.0
92,tuple,2270.0,880.0,3165.0,245.0
93,raid,0.0,0.0,10.0,0.0
94,schema,432.0,128.0,572.0,396.0
95,instance,381.0,282.0,3366.0,267.0
96,integrity,105.0,24.0,105.0,633.0
97,entity,44.0,22.0,166.0,146.0
98,entities,14.0,7.0,15.0,0.0
99,relation,1.0,0.0,20.0,0.0
100,relationship,3.0,3.0,18.0,0.0
101,multivalued,0.0,0.0,0.0,0.0
102,copmlex,0.0,0.0,50.0,0.0
103,selection,72.0,25.0,300.0,187.0
104,projection,30.0,13.0,65.0,0.0
105,rename,178.0,106.0,208.0,356.0
106,set,4788.0,1788.0,5276.0,580.0
107,join,520.0,54.0,534.0,31.0
108,division,5.0,1.0,6.0,0.0
109,quantifiers,0.0,0.0,0.0,0.0
110,constrains,4.0,0.0,214.0,0.0
111,insert,226.0,82.0,280.0,26.0
112,delete,320.0,40.0,595.0,35.0
113,update,1461.0,198.0,1803.0,54.0
114,alter,56.0,26.0,62.0,0.0
115,select,170.0,71.0,336.0,87.0
116,view,950.0,32.0,1012.0,100.0
117,aliasing,2.0,1.0,2.0,0.0
118,arithmetic,66.0,48.0,66.0,0.0
119,exists,180.0,32.0,265.0,5.0
120,joins,4.0,2.0,524.0,31.0
121,transaction,4.0,0.0,270.0,0.0
122,serializability,0.0,0.0,4.0,0.0
123,polygraph,0.0,0.0,0.0,0.0
124,lock,2.0,0.0,654.0,127.0
125,records,53.0,27.0,108.0,4.0
126,indexing,45.0,25.0,57.0,0.0
127,underflow,3.0,2.0,3.0,0.0
128,overflow,140.0,45.0,185.0,0.0
129,insertion,27.0,24.0,63.0,0.0
130,deletion,46.0,10.0,208.0,186.0
131,insertion,27.0,24.0,63.0,0.0
132,deletion,46.0,10.0,208.0,186.0
133,multivalued,0.0,0.0,0.0,0.0
134,stored,103.0,50.0,374.0,88.0
135,derived,4.0,1.0,13.0,0.0
136,composite,6.0,0.0,44.0,0.0
137,complex,200.0,28.0,488.0,84.0
138,key,3480.0,645.0,4941.0,708.0
139,cardinality,0.0,0.0,0.0,0.0
140,table,1400.0,420.0,1664.0,1588.0
141,row,598.0,169.0,883.0,224.0
142,tuple,2270.0,880.0,3165.0,245.0
143,column,728.0,349.0,1702.0,449.0
144,attribute,166.0,124.0,342.0,0.0
145,domain,24.0,4.0,28.0,0.0
146,schema,432.0,128.0,572.0,396.0
147,intension,0.0,0.0,0.0,0.0
