antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'notify'}),frozenset({'changed'}),0.006968641114982578,0.006968641114982578,0.006968641114982578,1.0,143.5,0.006920079155993152,inf
frozenset({'changed'}),frozenset({'notify'}),0.006968641114982578,0.006968641114982578,0.006968641114982578,1.0,143.5,0.006920079155993152,inf
frozenset({'retrofit'}),frozenset({'converter'}),0.006968641114982578,0.006968641114982578,0.006968641114982578,1.0,143.5,0.006920079155993152,inf
frozenset({'converter'}),frozenset({'retrofit'}),0.006968641114982578,0.006968641114982578,0.006968641114982578,1.0,143.5,0.006920079155993152,inf
frozenset({'locate'}),frozenset({'could'}),0.006968641114982578,0.006968641114982578,0.006968641114982578,1.0,143.5,0.006920079155993152,inf
frozenset({'could'}),frozenset({'locate'}),0.006968641114982578,0.006968641114982578,0.006968641114982578,1.0,143.5,0.006920079155993152,inf
frozenset({'kat'}),frozenset({'kit'}),0.006968641114982578,0.006968641114982578,0.006968641114982578,1.0,143.5,0.006920079155993152,inf
frozenset({'kit'}),frozenset({'kat'}),0.006968641114982578,0.006968641114982578,0.006968641114982578,1.0,143.5,0.006920079155993152,inf
frozenset({'token'}),frozenset({'null'}),0.006968641114982578,0.006968641114982578,0.006968641114982578,1.0,143.5,0.006920079155993152,inf
frozenset({'null'}),frozenset({'token'}),0.006968641114982578,0.006968641114982578,0.006968641114982578,1.0,143.5,0.006920079155993152,inf
frozenset({'refresh'}),frozenset({'swipe'}),0.006968641114982578,0.006968641114982578,0.006968641114982578,1.0,143.5,0.006920079155993152,inf
frozenset({'swipe'}),frozenset({'refresh'}),0.006968641114982578,0.006968641114982578,0.006968641114982578,1.0,143.5,0.006920079155993152,inf
"frozenset({'call', 'adapter'})",frozenset({'observable'}),0.006968641114982578,0.006968641114982578,0.006968641114982578,1.0,143.5,0.006920079155993152,inf
frozenset({'observable'}),"frozenset({'call', 'adapter'})",0.006968641114982578,0.006968641114982578,0.006968641114982578,1.0,143.5,0.006920079155993152,inf
"frozenset({'notify', 'recycler'})",frozenset({'changed'}),0.006968641114982578,0.006968641114982578,0.006968641114982578,1.0,143.5,0.006920079155993152,inf
"frozenset({'recycler', 'changed'})",frozenset({'notify'}),0.006968641114982578,0.006968641114982578,0.006968641114982578,1.0,143.5,0.006920079155993152,inf
frozenset({'notify'}),"frozenset({'recycler', 'changed'})",0.006968641114982578,0.006968641114982578,0.006968641114982578,1.0,143.5,0.006920079155993152,inf
frozenset({'changed'}),"frozenset({'notify', 'recycler'})",0.006968641114982578,0.006968641114982578,0.006968641114982578,1.0,143.5,0.006920079155993152,inf
"frozenset({'view', 'notify'})",frozenset({'changed'}),0.006968641114982578,0.006968641114982578,0.006968641114982578,1.0,143.5,0.006920079155993152,inf
